"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"14";"tabu";"aic";"0.0247894943495908";"100";"3.52";"0.02";"11.36"
"14";"tabu";"bic";"0.00158711592368022";"100";"3.53";"0";"11.44"
"14";"tabu";"bds";"0.00357095238382144";"100";"3.48";"0";"11.04"
"15";"hc";"k2";"0.168174426238611";"100";"3.68";"0.17";"11.29"
"15";"hc";"aic";"0.040061435298";"100";"3.38";"0.04";"10.78"
"15";"hc";"bic";"0.000198391438630097";"100";"3.79";"0";"12.2"
"15";"hc";"bds";"0.00495958335891089";"100";"3.44";"0";"11.19"
"15";"tabu";"k2";"1.10261557322048";"100";"4.26";"1.1";"10.09"
"15";"tabu";"aic";"0.0031741071669984";"100";"3.54";"0";"11.4"
"15";"tabu";"bic";"0.00515778778131448";"100";"3.48";"0.01";"11.1"
"15";"tabu";"bds";"0.000793557961841884";"100";"3.51";"0";"11.44"
"16";"hc";"k2";"0.0390583000069036";"100";"3.71";"0.04";"11.73"
"16";"hc";"aic";"0.187747145931869";"100";"3.83";"0.19";"11.54"
"16";"hc";"bic";"0.0158685411068262";"100";"3.23";"0.02";"10.38"
"16";"hc";"bds";"0.00634821433400035";"100";"3.67";"0.01";"11.71"
"16";"tabu";"k2";"0.285920228815097";"100";"3.57";"0.29";"10.56"
"16";"tabu";"aic";"0.00793483155594998";"100";"3.52";"0.01";"11.3"
"16";"tabu";"bic";"0.00257903415375083";"100";"3.39";"0";"11.14"
"16";"tabu";"bds";"0.0198327157172855";"100";"3.47";"0.02";"11.12"
"17";"hc";"k2";"0.509693615088764";"100";"4.25";"0.51";"11.79"
"17";"hc";"aic";"0.210994304015902";"100";"4.05";"0.21";"12.11"
"17";"hc";"bic";"0.000198391438630097";"100";"3.57";"0";"11.49"
"17";"hc";"bds";"0.00733966503273464";"100";"3.83";"0.01";"12.19"
"17";"tabu";"k2";"1.00432853488037";"100";"4.59";"1";"11.35"
"17";"tabu";"aic";"0.046390830161112";"100";"3.69";"0.05";"11.58"
"17";"tabu";"bic";"0.00257903415375083";"100";"3.74";"0";"12.03"
"17";"tabu";"bds";"0.00198386763053904";"100";"3.7";"0";"11.7"
"18";"hc";"k2";"0.0670194393193988";"100";"3.72";"0.07";"11.69"
"18";"hc";"aic";"0.0412494313336893";"100";"3.58";"0.04";"11.54"
"18";"hc";"bic";"0.00337249860562849";"100";"3.45";"0";"11.07"
"18";"hc";"bds";"0.000198391438630097";"100";"3.2";"0";"10.52"
"18";"tabu";"k2";"0.852746695764139";"100";"4.31";"0.85";"11.27"
"18";"tabu";"aic";"0.00634821433400035";"100";"3.81";"0.01";"11.93"
"18";"tabu";"bic";"0.000198391438630097";"100";"3.54";"0";"11.38"
"18";"tabu";"bds";"0.000991949400468428";"100";"3.79";"0";"11.98"
"19";"hc";"k2";"0.460439715745395";"100";"3.86";"0.46";"10.9"
"19";"hc";"aic";"0.0146790495614368";"100";"3.62";"0.01";"11.4"
"19";"hc";"bic";"0";"100";"3.4";"0";"11.06"
"19";"hc";"bds";"0.000991949400468428";"100";"3.68";"0";"11.71"
"19";"tabu";"k2";"0.259885310714481";"100";"4.01";"0.26";"11.89"
"19";"tabu";"aic";"0.0970843425236865";"100";"3.73";"0.1";"11.64"
"19";"tabu";"bic";"0";"100";"3.02";"0";"9.87"
"19";"tabu";"bds";"0.0126944339398278";"100";"3.56";"0.01";"11.25"
"20";"hc";"k2";"0.00892674978602059";"100";"3.37";"0.01";"10.89"
"20";"hc";"aic";"0.0031741071669984";"100";"3.42";"0";"11.21"
"20";"hc";"bic";"0.00396766512884028";"100";"3";"0";"10.18"
"20";"hc";"bds";"0.00337249860562849";"100";"3.33";"0";"10.76"
"20";"tabu";"k2";"0.972098784301927";"100";"4.46";"0.97";"11.15"
"20";"tabu";"aic";"0.0875630807435641";"100";"3.8";"0.09";"11.92"
"20";"tabu";"bic";"0.000198391438630097";"100";"3.19";"0";"10.34"
"20";"tabu";"bds";"0.0289553327304333";"100";"3.56";"0.03";"11.3"
