"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"11";"hc";"bds";"5";"165";"4";"4.1";"0.34"
"11";"tabu";"k2";"5";"17";"4.06";"4.15";"0.3"
"11";"tabu";"aic";"5";"27";"4.02";"4.1";"0.3"
"11";"tabu";"bic";"4.2";"300";"4.11";"4.2";"0.31"
"11";"tabu";"bds";"5";"244";"4.07";"4.15";"0.33"
"12";"hc";"k2";"5";"1";"3.46";"3.5";"0.31"
"12";"hc";"aic";"5";"49";"4.05";"4.15";"0.35"
"12";"hc";"bic";"4.4";"300";"4.27";"4.4";"0.41"
"12";"hc";"bds";"4.35";"300";"4.07";"4.15";"0.33"
"12";"tabu";"k2";"5";"18";"3.93";"4";"0.26"
"12";"tabu";"aic";"5";"33";"4.06";"4.15";"0.32"
"12";"tabu";"bic";"4.2";"300";"4.1";"4.2";"0.33"
"12";"tabu";"bds";"5";"247";"4.05";"4.15";"0.34"
"13";"hc";"k2";"5";"16";"3.98";"4.05";"0.28"
"13";"hc";"aic";"5";"28";"4.1";"4.2";"0.33"
"13";"hc";"bic";"5";"187";"4.22";"4.35";"0.39"
"13";"hc";"bds";"4.2";"300";"3.86";"3.95";"0.3"
"13";"tabu";"k2";"5";"12";"4.05";"4.15";"0.33"
"13";"tabu";"aic";"5";"25";"4.11";"4.2";"0.3"
"13";"tabu";"bic";"4.2";"300";"4.09";"4.2";"0.35"
"13";"tabu";"bds";"4.2";"300";"3.87";"3.95";"0.29"
"14";"hc";"k2";"5";"10";"3.87";"3.95";"0.29"
"14";"hc";"aic";"5";"23";"4.08";"4.15";"0.31"
"14";"hc";"bic";"5";"236";"4.28";"4.4";"0.39"
"14";"hc";"bds";"5";"213";"4.08";"4.15";"0.34"
"14";"tabu";"k2";"5";"14";"4.05";"4.15";"0.28"
"14";"tabu";"aic";"5";"30";"4.05";"4.1";"0.28"
"14";"tabu";"bic";"5";"284";"4.27";"4.4";"0.41"
"14";"tabu";"bds";"4.15";"300";"3.88";"3.95";"0.25"
"15";"hc";"k2";"5";"3";"3.69";"3.68";"0.24"
"15";"hc";"aic";"5";"42";"4.1";"4.2";"0.34"
"15";"hc";"bic";"5";"176";"4.11";"4.2";"0.32"
"15";"hc";"bds";"5";"247";"4.18";"4.2";"0.38"
"15";"tabu";"k2";"5";"21";"3.92";"4";"0.29"
"15";"tabu";"aic";"5";"41";"4.06";"4.15";"0.31"
"15";"tabu";"bic";"4.2";"300";"4.1";"4.2";"0.32"
"15";"tabu";"bds";"4.15";"300";"3.88";"3.95";"0.25"
"16";"hc";"k2";"5";"10";"3.91";"4";"0.31"
"16";"hc";"aic";"5";"39";"4.08";"4.1";"0.31"
"16";"hc";"bic";"4.2";"300";"4.11";"4.2";"0.32"
"16";"hc";"bds";"4.2";"300";"3.87";"3.95";"0.29"
"16";"tabu";"k2";"5";"13";"3.93";"4";"0.26"
"16";"tabu";"aic";"5";"16";"3.92";"4";"0.27"
"16";"tabu";"bic";"4.2";"300";"4.1";"4.2";"0.32"
"16";"tabu";"bds";"5";"238";"4.15";"4.25";"0.33"
"17";"hc";"k2";"5";"3";"3.67";"3.65";"0.27"
"17";"hc";"aic";"5";"33";"4.02";"4.1";"0.28"
"17";"hc";"bic";"5";"220";"4.28";"4.4";"0.39"
"17";"hc";"bds";"4.35";"300";"4.02";"4.1";"0.3"
"17";"tabu";"k2";"5";"10";"4";"4.1";"0.35"
"17";"tabu";"aic";"5";"33";"4.05";"4.15";"0.34"
"17";"tabu";"bic";"4.2";"300";"4.11";"4.2";"0.32"
"17";"tabu";"bds";"5";"274";"4.13";"4.2";"0.36"
"18";"hc";"k2";"5";"18";"4.06";"4.15";"0.32"
"18";"hc";"aic";"5";"41";"4.06";"4.15";"0.3"
"18";"hc";"bic";"4.2";"300";"4.1";"4.2";"0.33"
"18";"hc";"bds";"4.35";"300";"4.07";"4.15";"0.31"
"18";"tabu";"k2";"5";"12";"4.05";"4.15";"0.3"
"18";"tabu";"aic";"5";"22";"4.05";"4.15";"0.33"
"18";"tabu";"bic";"4.2";"300";"4.11";"4.2";"0.3"
"18";"tabu";"bds";"4.2";"300";"3.86";"3.95";"0.3"
"19";"hc";"k2";"5";"14";"3.93";"4";"0.26"
"19";"hc";"aic";"5";"45";"4.61";"4.75";"0.45"
"19";"hc";"bic";"5";"118";"4.27";"4.4";"0.41"
"19";"hc";"bds";"5";"172";"4.11";"4.2";"0.33"
"19";"tabu";"k2";"5";"14";"3.94";"4";"0.28"
"19";"tabu";"aic";"5";"21";"3.95";"4";"0.28"
"19";"tabu";"bic";"4.2";"300";"4.1";"4.2";"0.33"
"19";"tabu";"bds";"5";"283";"4.11";"4.2";"0.32"
"20";"hc";"k2";"5";"14";"3.91";"3.95";"0.25"
"20";"hc";"aic";"5";"36";"4.06";"4.15";"0.31"
"20";"hc";"bic";"4.2";"300";"4.1";"4.2";"0.35"
"20";"hc";"bds";"5";"268";"4.08";"4.2";"0.34"
"20";"tabu";"k2";"5";"23";"3.94";"4";"0.23"
"20";"tabu";"aic";"5";"46";"4.02";"4.1";"0.27"
"20";"tabu";"bic";"4.25";"300";"4.1";"4.2";"0.34"
"20";"tabu";"bds";"5";"234";"4.05";"4.15";"0.32"
