"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"15";"hc";"aic";"5";"22";"4.19";"4.4";"0.75"
"15";"hc";"bic";"5";"23";"4.26";"4.5";"0.72"
"15";"hc";"bds";"5";"32";"4.18";"4.4";"0.77"
"15";"tabu";"k2";"5";"2";"2.36";"2.3";"0.33"
"15";"tabu";"aic";"5";"35";"4.25";"4.5";"0.77"
"15";"tabu";"bic";"5";"28";"4.24";"4.5";"0.75"
"15";"tabu";"bds";"5";"26";"4.19";"4.4";"0.75"
"16";"hc";"k2";"5";"19";"3.81";"4";"0.61"
"16";"hc";"aic";"5";"24";"4.15";"4.4";"0.73"
"16";"hc";"bic";"5";"26";"4.25";"4.5";"0.78"
"16";"hc";"bds";"5";"32";"4.25";"4.5";"0.77"
"16";"tabu";"k2";"5";"8";"2.94";"3.1";"0.39"
"16";"tabu";"aic";"5";"31";"4.21";"4.5";"0.78"
"16";"tabu";"bic";"5";"26";"4.25";"4.5";"0.76"
"16";"tabu";"bds";"5";"23";"4.08";"4.3";"0.72"
"17";"hc";"k2";"5";"11";"3.07";"3.1";"0.43"
"17";"hc";"aic";"5";"24";"4.21";"4.5";"0.75"
"17";"hc";"bic";"5";"23";"4.24";"4.5";"0.76"
"17";"hc";"bds";"5";"38";"4.25";"4.5";"0.76"
"17";"tabu";"k2";"5";"14";"3.62";"3.7";"0.6"
"17";"tabu";"aic";"5";"28";"4.25";"4.5";"0.75"
"17";"tabu";"bic";"5";"32";"4.25";"4.5";"0.76"
"17";"tabu";"bds";"5";"26";"4.15";"4.4";"0.72"
"18";"hc";"k2";"5";"7";"2.77";"2.8";"0.34"
"18";"hc";"aic";"5";"19";"3.92";"4.1";"0.67"
"18";"hc";"bic";"5";"39";"4.25";"4.5";"0.77"
"18";"hc";"bds";"5";"19";"3.72";"3.8";"0.6"
"18";"tabu";"k2";"5";"10";"3.04";"3.2";"0.43"
"18";"tabu";"aic";"5";"26";"4.19";"4.4";"0.75"
"18";"tabu";"bic";"5";"37";"4.25";"4.5";"0.77"
"18";"tabu";"bds";"5";"25";"4.05";"4.3";"0.7"
"19";"hc";"k2";"5";"10";"3.12";"3.2";"0.46"
"19";"hc";"aic";"5";"22";"4.18";"4.4";"0.76"
"19";"hc";"bic";"5";"30";"4.25";"4.5";"0.77"
"19";"hc";"bds";"5";"27";"4.23";"4.5";"0.75"
"19";"tabu";"k2";"5";"3";"2.5";"2.5";"0.33"
"19";"tabu";"aic";"5";"7";"2.99";"3";"0.45"
"19";"tabu";"bic";"5";"39";"4.25";"4.5";"0.75"
"19";"tabu";"bds";"5";"25";"4.2";"4.4";"0.73"
"20";"hc";"k2";"5";"5";"2.68";"2.7";"0.35"
"20";"hc";"aic";"5";"26";"4.25";"4.5";"0.77"
"20";"hc";"bic";"5";"24";"4.25";"4.5";"0.74"
"20";"hc";"bds";"5";"22";"3.85";"4";"0.63"
"20";"tabu";"k2";"5";"32";"4.15";"4.3";"0.76"
"20";"tabu";"aic";"5";"19";"4";"4.2";"0.7"
"20";"tabu";"bic";"5";"38";"4.25";"4.5";"0.76"
"20";"tabu";"bds";"5";"17";"3.5";"3.6";"0.56"
