"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"18";"hc";"k2";"5";"28";"4.84";"4.97";"0.27"
"18";"hc";"aic";"5";"25";"4.57";"4.61";"0.2"
"18";"hc";"bic";"4.7986";"300";"4.73";"4.8";"0.27"
"18";"hc";"bds";"5";"78";"4.73";"4.79";"0.22"
"18";"tabu";"k2";"5";"15";"4.66";"4.72";"0.21"
"18";"tabu";"aic";"5";"34";"4.63";"4.66";"0.21"
"18";"tabu";"bic";"5";"67";"4.89";"4.98";"0.29"
"18";"tabu";"bds";"5";"60";"4.6";"4.6";"0.23"
"19";"hc";"k2";"5";"18";"4.71";"4.79";"0.23"
"19";"hc";"aic";"5";"32";"4.7";"4.78";"0.24"
"19";"hc";"bic";"5";"76";"4.73";"4.8";"0.26"
"19";"hc";"bds";"5";"97";"4.7";"4.77";"0.24"
"19";"tabu";"k2";"5";"9";"4.64";"4.75";"0.21"
"19";"tabu";"aic";"5";"45";"4.88";"4.97";"0.28"
"19";"tabu";"bic";"5";"51";"4.73";"4.8";"0.21"
"19";"tabu";"bds";"5";"135";"4.73";"4.8";"0.26"
"20";"hc";"k2";"5";"11";"4.54";"4.58";"0.18"
"20";"hc";"aic";"5";"27";"4.75";"4.79";"0.24"
"20";"hc";"bic";"5";"61";"4.89";"4.97";"0.27"
"20";"hc";"bds";"5";"107";"4.74";"4.77";"0.26"
"20";"tabu";"k2";"5";"13";"4.56";"4.58";"0.21"
"20";"tabu";"aic";"5";"42";"4.68";"4.75";"0.21"
"20";"tabu";"bic";"5";"64";"4.72";"4.79";"0.24"
"20";"tabu";"bds";"5";"65";"4.56";"4.6";"0.23"
