"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"18";"hc";"k2";"2.16815307775842e-05";"100";"0.03";"0";"0.16"
"18";"hc";"aic";"7.62943191345844e-07";"100";"0.04";"0";"0.16"
"18";"hc";"bic";"1.30624975003268e-07";"100";"0.03";"0";"0.13"
"18";"hc";"bds";"5.24237633969804e-06";"100";"0.04";"0";"0.17"
"18";"tabu";"k2";"5.28533917354412e-06";"100";"0.04";"0";"0.16"
"18";"tabu";"aic";"2.78501660544439e-06";"100";"0.04";"0";"0.17"
"18";"tabu";"bic";"4.01600003252511e-09";"100";"0.04";"0";"0.18"
"18";"tabu";"bds";"7.21999218133984e-07";"100";"0.03";"0";"0.15"
"19";"hc";"k2";"2.5048999152677e-08";"100";"0.03";"0";"0.15"
"19";"hc";"aic";"6.11209943768287e-08";"100";"0.04";"0";"0.16"
"19";"hc";"bic";"2.65759989015457e-08";"100";"0.03";"0";"0.15"
"19";"hc";"bds";"3.32781282347261e-06";"100";"0.04";"0";"0.16"
"19";"tabu";"k2";"2.27022017273981e-06";"100";"0.04";"0";"0.16"
"19";"tabu";"aic";"3.65728799633924e-07";"100";"0.05";"0";"0.19"
"19";"tabu";"bic";"6.60889935555353e-08";"100";"0.04";"0";"0.18"
"19";"tabu";"bds";"8.7118861529234e-06";"100";"0.04";"0";"0.16"
"20";"hc";"k2";"1.17192414575418e-05";"100";"0.03";"0";"0.15"
"20";"hc";"aic";"1.60062127912974e-06";"100";"0.04";"0";"0.15"
"20";"hc";"bic";"6.11209943768287e-08";"100";"0.03";"0";"0.15"
"20";"hc";"bds";"8.95023836322562e-07";"100";"0.04";"0";"0.17"
"20";"tabu";"k2";"4.9567308549936e-05";"100";"0.04";"0";"0.15"
"20";"tabu";"aic";"5.60200622723439e-07";"100";"0.04";"0";"0.18"
"20";"tabu";"bic";"5.00899993705062e-09";"100";"0.04";"0";"0.17"
"20";"tabu";"bds";"3.19094773498785e-06";"100";"0.03";"0";"0.14"
